#MT002
0x1a   4	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   4	   8	1	0	0	0	0	0	0	0	0
0x1a   5	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   5	   8	1	0	0	0	0	0	0	0	0
0x1a   6	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   6	   8	1	0	0	0	0	0	0	0	0
0x1a   7	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   7	   8	1	0	0	0	0	0	0	0	0
0x1a   12	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   12	   8	1	0	0	0	0	0	0	0	0
0x1a   13	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   13	   8	1	0	0	0	0	0	0	0	0
0x1a   14	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   14	   8	1	0	0	0	0	0	0	0	0
0x1a   15	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   15	   8	1	0	0	0	0	0	0	0	0
0x1a   20	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   20	   8	1	0	0	0	0	0	0	0	0
0x1a   21	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   21	   8	1	0	0	0	0	0	0	0	0
0x1a   22	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   22	   8	1	0	0	0	0	0	0	0	0
0x1a   23	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   23	   8	1	0	0	0	0	0	0	0	0
0x1a   28	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   28	   8	1	0	0	0	0	0	0	0	0
0x1a   29	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   29	   8	1	0	0	0	0	0	0	0	0
0x1a   30	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   30	   8	1	0	0	0	0	0	0	0	0
0x1a   31	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1a   31	   8	1	0	0	0	0	0	0	0	0

#MT003
0x1c   4	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   4	   8	1	0	0	0	0	0	0	0	0
0x1c   5	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   5	   8	1	0	0	0	0	0	0	0	0
0x1c   6	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   6	   8	1	0	0	0	0	0	0	0	0
0x1c   7	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   7	   8	1	0	0	0	0	0	0	0	0
0x1c   12	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   12	   8	1	0	0	0	0	0	0	0	0
0x1c   13	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   13	   8	1	0	0	0	0	0	0	0	0
0x1c   14	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
0x1c   14	   8	1	0	0	0	0	0	0	0	0
0x1c   15	   8	0	4095	4095	4095	4095	4095	4095	4095	4095
