0 0 -425.854
1 -0.463105 25.0126
2 0 0
3 0.523576 73.9899
4 -3.54801 65.0954
5 0 0
6 -11.8806 20.7484
7 -6.07871 24.4507
8 -9.21597 -66.001
9 -5.5676 -24.4731
10 -6.60695 6.89483
11 7.51396 -90.1424
12 -6.75106 83.1351
13 0 0
14 0 0
15 -11.3299 -40.4408
16 3.62451 -196.012
17 6.92872 -237.413
18 6.27341 -107.66
19 0.830759 104.412
20 -0.160518 107.297
21 0 0
22 -0.28438 85.3799
23 5.44996 186.565
24 0 0
25 0.816713 268.985
26 0.319967 258.419
27 -0.449697 198.127
28 0.746974 247.674
29 5.37106 289.551
30 5.07652 253.778
31 4.03461 203.331
32 0 0
33 0 0
34 3.89903 93.6983
35 0.80607 61.4066
36 5.56311 -1.57622
37 2.96367 -9.6346
